champion,patch,n_picks,n_bans,n_presence_games,total_games,pick_rate,ban_rate,presence,n_games,avg_kda,avg_gold,avg_gpm,avg_dpm,avg_xp15,winrate,avg_firstblood,avg_goldat15,avg_csat15,avg_cspm,avg_firstdragon,avg_firsttower,avg_towers,avg_void_grubs,avg_barons,avg_infernals,avg_mountains,avg_clouds,avg_oceans,avg_chemtechs,avg_hextechs,avg_elders,corte,relevancia_bin,position
Renekton,15.01,35,32,67,272,0.12867647058823528,0.1176470588235294,0.24632352941176472,35,3.1834013605442175,11532.685714285712,232.16746285714285,494.07482857142855,7086.8,0.3142857142857143,0.11428571428571428,4994.285714285715,120.37142857142857,7.730214285714285,0.42857142857142855,0.45714285714285713,4.457142857142857,3.6857142857142855,0.4,0.2857142857142857,0.17142857142857143,0.4857142857142857,0.2857142857142857,0.17142857142857143,0.3142857142857143,0.02857142857142857,0.23897058823529413,1,Top
Jax,15.01,41,24,65,272,0.15073529411764705,0.08823529411764706,0.23897058823529413,41,4.165447154471544,13498.09756097561,264.58906829268295,523.4050585365853,7018.634146341464,0.5853658536585366,0.07317073170731707,4878.292682926829,113.21951219512196,7.585831707317073,0.5365853658536586,0.4878048780487805,7.219512195121951,2.3658536585365852,0.7073170731707317,0.3170731707317073,0.4390243902439024,0.4634146341463415,0.4634146341463415,0.17073170731707318,0.3170731707317073,0.02439024390243902,0.23897058823529413,1,Top
Galio,15.01,40,23,63,272,0.14705882352941177,0.08455882352941177,0.2316176470588235,40,7.266726190476191,11219.425,242.57915,566.9170375,7305.175,0.5,0.125,5224.9,129.9,7.798755,0.7,0.55,5.925,3.275,0.4,0.35,0.625,0.425,0.4,0.125,0.45,0.025,0.23897058823529413,0,Mid
Miss Fortune,15.01,36,27,63,272,0.1323529411764706,0.09926470588235294,0.2316176470588235,36,5.594808201058201,13512.638888888889,297.88036944444445,697.0206083333334,5943.888888888889,0.4166666666666667,0.2777777777777778,5526.861111111111,136.69444444444446,9.480022222222225,0.5,0.5,5.333333333333333,2.9166666666666665,0.4444444444444444,0.3055555555555556,0.6388888888888888,0.3333333333333333,0.3611111111111111,0,0.3888888888888889,0,0.23897058823529413,0,ADC
Akali,15.01,30,29,59,272,0.11029411764705882,0.10661764705882353,0.21691176470588236,30,5.108333333333333,12976.3,271.4740933333333,633.35283,7416.166666666667,0.36666666666666664,0.2,5504.7,135.53333333333333,7.989933333333333,0.5333333333333333,0.43333333333333335,5.366666666666666,3.433333333333333,0.3,0.3,0.43333333333333335,0.4666666666666667,0.5,0.13333333333333333,0.4,0.06666666666666667,0.23897058823529413,0,Mid
Gnar,15.01,26,27,53,272,0.09558823529411764,0.09926470588235294,0.1948529411764706,26,3.640705128205128,12989.807692307691,253.7017153846154,626.3719461538461,7103.5,0.34615384615384615,0.1153846153846154,5084.846153846154,124.57692307692308,8.092915384615385,0.6153846153846154,0.4615384615384616,5.3076923076923075,2.8076923076923075,0.34615384615384615,0.3076923076923077,0.5384615384615384,0.34615384615384615,0.2307692307692308,0.3076923076923077,0.4230769230769231,0,0.23897058823529413,0,Top
Caitlyn,15.01,20,32,52,272,0.07352941176470588,0.1176470588235294,0.19117647058823528,20,5.885833333333333,14410.1,309.978695,623.890405,5897.95,0.55,0.25,5558.2,139.95,9.64695,0.8,0.35,5.9,2.15,0.7,0.65,0.3,0.35,0.3,0.3,0.6,0.05,0.23897058823529413,0,ADC
Kai'Sa,15.01,34,18,52,272,0.125,0.0661764705882353,0.19117647058823528,34,8.003536414565826,15425.79411764706,340.5036382352941,746.8455235294118,6016.588235294118,0.6764705882352942,0.2352941176470588,5622.64705882353,135.35294117647058,9.374179411764706,0.6176470588235294,0.4411764705882353,7.147058823529412,3.0588235294117645,0.7352941176470589,0.38235294117647056,0.4705882352941176,0.5588235294117647,0.6176470588235294,0.08823529411764706,0.4117647058823529,0.14705882352941177,0.23897058823529413,0,ADC
Sylas,15.01,22,27,49,272,0.08088235294117647,0.09926470588235294,0.1801470588235294,22,5.849242424242425,11934.40909090909,256.867,564.6776136363636,7103.045454545455,0.4545454545454546,0.2272727272727273,5264.181818181818,125.22727272727272,7.959772727272728,0.4545454545454546,0.5,4.863636363636363,3.090909090909091,0.3636363636363637,0.3636363636363637,0.6363636363636364,0.4090909090909091,0.2727272727272727,0.04545454545454545,0.2272727272727273,0.04545454545454545,0.23897058823529413,0,Mid
Taliyah,15.01,33,15,48,272,0.1213235294117647,0.05514705882352941,0.17647058823529413,33,7.446464646464647,13769.969696969696,296.35163030303033,781.2431515151516,7327.30303030303,0.6060606060606061,0.15151515151515152,5417.848484848485,138.93939393939394,8.880269696969696,0.48484848484848486,0.6363636363636364,7.090909090909091,2.909090909090909,0.6060606060606061,0.4545454545454546,0.48484848484848486,0.4545454545454546,0.2727272727272727,0.18181818181818185,0.3939393939393939,0,0.23897058823529413,0,Jungle
Hwei,15.01,28,17,45,272,0.10294117647058824,0.0625,0.16544117647058823,28,6.024659863945578,12948.857142857143,263.4694285714286,789.183875,7380.285714285715,0.4642857142857143,0.17857142857142858,5439.857142857143,137.85714285714286,8.245289285714286,0.35714285714285715,0.4642857142857143,5.892857142857143,3.357142857142857,0.3928571428571429,0.3928571428571429,0.4642857142857143,0.4642857142857143,0.17857142857142858,0.5714285714285714,0.25,0.03571428571428571,0.23897058823529413,0,Mid
Ivern,15.01,18,27,45,272,0.0661764705882353,0.09926470588235294,0.16544117647058823,18,5.552910052910053,10276.333333333334,194.5473,232.0802,5341.111111111111,0.4444444444444444,0.3333333333333333,4986.611111111111,91,5.154983333333333,0.3888888888888889,0.3888888888888889,5.611111111111111,2.2777777777777777,0.6111111111111112,0.3333333333333333,0.3888888888888889,0.16666666666666666,0.1111111111111111,0,0.2777777777777778,0.05555555555555555,0.23897058823529413,0,Jungle
Ahri,15.01,17,24,41,272,0.0625,0.08823529411764706,0.15073529411764705,17,9.551820728291316,13207.941176470587,274.46608823529414,772.0591705882352,7411.470588235294,0.5294117647058824,0.2352941176470588,5476,140.11764705882354,8.341005882352942,0.6470588235294118,0.5294117647058824,5.647058823529412,2.8823529411764706,0.4117647058823529,0.4705882352941176,0.4705882352941176,0.5294117647058824,0.7058823529411765,0.0588235294117647,0.4117647058823529,0.0588235294117647,0.23897058823529413,0,Mid
Xayah,15.01,19,18,37,272,0.06985294117647059,0.0661764705882353,0.13602941176470587,19,6.65438596491228,14288.21052631579,327.37476315789473,725.1398368421053,6167.578947368421,0.631578947368421,0.2631578947368421,5678.736842105263,140.94736842105263,9.910105263157895,0.5263157894736842,0.47368421052631576,6.421052631578948,2.8421052631578947,0.5789473684210527,0.21052631578947367,0.3684210526315789,0.631578947368421,0.5263157894736842,0.10526315789473684,0.3684210526315789,0,0.23897058823529413,0,ADC
Jinx,15.01,25,8,33,272,0.09191176470588236,0.02941176470588235,0.1213235294117647,25,4.043333333333333,13246.36,293.846044,636.758204,5484,0.32,0.28,5410.04,131.4,9.539588,0.36,0.36,4.16,2.28,0.36,0.32,0.32,0.24,0.36,0.08,0.2,0.04,0.23897058823529413,0,ADC
Syndra,15.01,13,20,33,272,0.04779411764705882,0.07352941176470588,0.1213235294117647,13,5.603479853479853,14792.846153846154,275.61066923076925,721.7227692307692,7379.076923076923,0.5384615384615384,0.4615384615384616,5533.538461538462,140.30769230769232,8.362638461538461,0.6923076923076923,0.38461538461538464,6.3076923076923075,2.923076923076923,0.5384615384615384,0.4615384615384616,0.38461538461538464,0.5384615384615384,0.3076923076923077,0.38461538461538464,0.6153846153846154,0,0.23897058823529413,0,Mid
Ornn,15.01,18,13,31,272,0.0661764705882353,0.04779411764705882,0.11397058823529412,18,5.398677248677249,9635.333333333334,201.61851666666664,459.6218666666667,6827,0.5,0.16666666666666666,4663.666666666667,105.5,6.497922222222222,0.5,0.5555555555555556,4.944444444444445,2.611111111111111,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3333333333333333,0.1111111111111111,0.16666666666666666,0,0.23897058823529413,0,Top
Jhin,15.01,19,7,26,272,0.06985294117647059,0.02573529411764705,0.09558823529411764,19,7.241228070175438,13939.473684210529,302.3316157894737,682.8463263157895,5780.210526315789,0.42105263157894735,0.47368421052631576,5431.315789473684,130.3684210526316,8.725952631578947,0.42105263157894735,0.42105263157894735,4.894736842105263,2.6315789473684212,0.3684210526315789,0.42105263157894735,0.3684210526315789,0.21052631578947367,0.3684210526315789,0.05263157894736842,0.6842105263157895,0.05263157894736842,0.23897058823529413,0,ADC
Nidalee,15.01,13,13,26,272,0.04779411764705882,0.04779411764705882,0.09558823529411764,13,6.309157509157509,11408.153846153846,238.081,480.8210846153846,6067.615384615385,0.6153846153846154,0.6923076923076923,5476.307692307692,112.07692307692308,6.8039538461538465,0.3076923076923077,0.6153846153846154,6.230769230769231,4,0.38461538461538464,0.07692307692307693,0.38461538461538464,0.3076923076923077,0.5384615384615384,0,0.4615384615384616,0,0.23897058823529413,0,Jungle
Elise,15.01,10,14,24,272,0.03676470588235294,0.05147058823529411,0.08823529411764706,10,3.4047222222222224,9779,158.62729,385.36274,3360.6,0.8,0.3,4140.7,21.8,1.22102,0.7,0.5,8,3.3,1.1,0.5,0.7,0.7,0.4,0.3,0.3,0,0.23897058823529413,0,Jungle
Ziggs,15.01,8,16,24,272,0.02941176470588235,0.0588235294117647,0.08823529411764706,8,7.425,13296.875,266.2840125,751.6272625,6550.375,0.5,0.25,5180.125,140.875,8.9035,0.125,0.625,6.5,3,0.625,0.25,0.625,0.625,0.25,0,0.125,0,0.23897058823529413,0,Mid
Lee Sin,15.01,17,6,23,272,0.0625,0.02205882352941176,0.08455882352941177,17,5.877450980392156,11906.764705882351,254.32007647058825,415.8382882352941,6055.235294117647,0.6470588235294118,0.4705882352941176,5313.470588235294,108,6.624129411764706,0.5294117647058824,0.6470588235294118,6.823529411764706,3.411764705882353,0.6470588235294118,0.6470588235294118,0.4705882352941176,0.17647058823529413,0.4117647058823529,0.1176470588235294,0.5294117647058824,0,0.23897058823529413,0,Jungle
Neeko,15.01,11,11,22,272,0.04044117647058824,0.04044117647058824,0.08088235294117647,11,1.809090909090909,7859.818181818182,100.39385454545454,371.76936363636366,3694.272727272727,0.18181818181818185,0.09090909090909093,3516,21.454545454545453,1.1950727272727273,0.4545454545454546,0.4545454545454546,3.5454545454545454,3.1818181818181817,0.09090909090909093,0.18181818181818185,0.5454545454545454,0.5454545454545454,0.18181818181818185,0.18181818181818185,0.2727272727272727,0,0.23897058823529413,0,Mid
Gragas,15.01,14,7,21,272,0.05147058823529411,0.02573529411764705,0.07720588235294118,14,3.9433673469387753,11699.5,230.69427857142855,505.3512214285714,6712,0.5,0.21428571428571427,5010.642857142857,110.5,6.96325,0.5714285714285714,0.42857142857142855,5.642857142857143,2.7142857142857144,0.5714285714285714,0.2857142857142857,0.6428571428571429,0.35714285714285715,0.21428571428571427,0.21428571428571427,0.35714285714285715,0.07142857142857142,0.23897058823529413,0,Top
LeBlanc,15.01,4,16,20,272,0.01470588235294117,0.0588235294117647,0.07352941176470588,4,2.475,12011.25,235.055775,727.64065,6899.75,0,0.25,5266.75,124.25,7.21045,0.25,0.25,3,2.5,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.23897058823529413,0,Mid
Pantheon,15.01,12,5,17,272,0.04411764705882353,0.01838235294117647,0.0625,12,7.141269841269842,11323.25,234.64293333333333,494.696925,5890,0.5,0.3333333333333333,5395.25,97.58333333333331,5.679058333333334,0.4166666666666667,0.5833333333333334,6.166666666666667,3.3333333333333335,0.4166666666666667,0.25,0.5833333333333334,0.3333333333333333,0.25,0.16666666666666666,0.3333333333333333,0,0.23897058823529413,0,Top
Sion,15.01,11,5,16,272,0.04044117647058824,0.01838235294117647,0.0588235294117647,11,5.1352813852813854,13075.363636363636,236.88632727272727,525.4748727272727,7003.909090909091,0.5454545454545454,0.18181818181818185,5136.363636363636,116,6.9984,0.09090909090909093,0.8181818181818182,6.909090909090909,4.181818181818182,0.9090909090909092,0.3636363636363637,0.4545454545454546,0.3636363636363637,0.5454545454545454,0,0.4545454545454546,0,0.23897058823529413,0,Top
